Cepa,temp,kinit,xin,xfin
CH23,30,0.834,4,18
CH23,37,0.912,2,18
CH23,42,0.723,2,18
CH29,30,0.351,12,18
CH29,37,0.465,6,18
CH29,42,0.052,2,18
CH90,30,1.188,6,18
CH90,37,1.371,2,18
CH90,42,1.227,4,18
CH99b,30,1.815,6,18
CH99b,37,1.683,4,18
CH99b,42,1.032,6,18
CH111,30,1.401,6,18
CH111,37,1.29,4,18
CH111,42,1.443,4,18
CH149a,30,1.686,8,18
CH149a,37,1.818,6,18
CH149a,42,1.428,6,18
CH154a,30,1.809,6,18
CH154a,37,1.734,4,18
CH154a,42,1.137,8,18
CH161d,30,0.948,4,18
CH161d,37,1.014,2,18
CH161d,42,1.254,2,18
CH447,30,0.81,2,18
CH447,37,0.738,2,18
CH447,42,0.657,2,18
CH450,30,1.083,4,18
CH450,37,0.921,4,18
CH450,42,0.912,4,18
